product_id,name,score
12,"Flagship Mobile",0.9000
11,"Android Smartphone",0.8500
3,"Smart LED TV",0.8000
4,"4K OLED TV",0.7400
20,"Programming in Rust",0.7000
15,"Air Fryer",0.6800
1,"ThinkBook Laptop",0.6400
19,"Kids Story Book",0.6400
6,"Noise Cancelling Pro",0.6200
5,"Wireless Headphones",0.5800
16,"Vacuum Cleaner",0.5800
2,"UltraWide Monitor",0.5700
17,"Espresso Machine",0.5600
7,"Summer T-Shirt",0.5500
8,"Cotton Hoodie",0.5500
9,"Modern Sofa",0.5500
10,"Wooden Dining Table",0.5500
13,"Running Shoes",0.5500
14,"Dumbbell Set",0.5500
18,"Blender Pro",0.5500
